1	34546	18
10	3977	3
100	4529	1
101	0	0
102	7984	4
103	4988	1
104	4783	1
105	0	0
106	0	0
11	1411	1
112	0	0
113	3049	1
114	0	0
116	3786	1
119	0	0
12	8659	3
13	11576	3
139	0	0
14	7555	3
15	1985	2
16	7135	2
17	14590	6
18	4101	3
19	5261	3
2	0	0
20	11096	3
21	2831	1
22	1670	1
23	22873	8
24	0	0
25	13568	5
26	12611	6
27	14697	7
28	16061	8
29	17164	9
3	10098	4
30	12120	5
31	11027	5
32	24894	8
33	24217	10
34	17443	8
35	16036	7
36	7608	4
37	15583	8
38	15999	7
39	17277	7
4	5326	2
40	10875	5
41	17454	7
42	7036	4
43	23366	6
44	15812	7
45	28743	10
46	12578	5
47	25708	11
48	43329	12
49	5275	4
5	3288	1
50	27822	10
51	17832	8
52	19953	8
53	24530	6
54	11378	6
55	36591	13
56	14993	7
57	22815	8
58	11304	5
59	28960	12
6	0	0
60	23159	9
61	11025	5
62	24087	9
63	22762	10
64	23843	8
65	29065	13
66	12873	4
67	21462	7
68	2402	1
69	2941	2
7	2463	2
70	11829	6
71	24245	7
72	25921	10
73	9142	4
74	18036	6
75	9031	6
76	11124	6
77	12625	6
78	6938	2
79	4166	2
8	8241	4
80	7901	3
81	4651	1
82	6866	2
83	13943	6
84	4238	2
85	7730	2
86	6895	2
87	12793	3
88	6032	2
89	17074	5
9	14808	6
90	11326	6
91	9476	3
92	0	0
93	5002	2
94	6917	2
95	7608	2
96	2865	1
97	4800	1
98	13102	4
99	0	0
