1	18
10	3
100	1
102	4
103	1
104	1
11	1
113	1
116	1
12	3
13	3
14	3
15	2
16	2
17	6
18	3
19	3
20	3
21	1
22	1
23	8
25	5
26	6
27	7
28	8
29	9
3	4
30	5
31	5
32	8
33	10
34	8
35	7
36	4
37	8
38	7
39	7
4	2
40	5
41	7
42	4
43	6
44	7
45	10
46	5
47	11
48	12
49	4
5	1
50	10
51	8
52	8
53	6
54	6
55	13
56	7
57	8
58	5
59	12
60	9
61	5
62	9
63	10
64	8
65	13
66	4
67	7
68	1
69	2
7	2
70	6
71	7
72	10
73	4
74	6
75	6
76	6
77	6
78	2
79	2
8	4
80	3
81	1
82	2
83	6
84	2
85	2
86	2
87	3
88	2
89	5
9	6
90	6
91	3
93	2
94	2
95	2
96	1
97	1
98	4
